pipeline_policy,trigger_position,trigger_id,n,bases,delivered_rate
none,prefix,boundary_001,3024,1008,1.0
none,prefix,multi_001,3024,1008,1.0
none,prefix,natural_001,3024,1008,1.0
none,prefix,rand_001,3024,1008,1.0
none,prefix,unicode_001,3024,1008,1.0
none,middle,boundary_001,3024,1008,1.0
none,middle,multi_001,3024,1008,1.0
none,middle,natural_001,3024,1008,1.0
none,middle,rand_001,3024,1008,1.0
none,middle,unicode_001,3024,1008,1.0
none,end,boundary_001,3024,1008,1.0
none,end,multi_001,3024,1008,1.0
none,end,natural_001,3024,1008,1.0
none,end,rand_001,3024,1008,1.0
none,end,unicode_001,3024,1008,1.0
none,old_turn,boundary_001,3024,1008,1.0
none,old_turn,multi_001,3024,1008,1.0
none,old_turn,natural_001,3024,1008,1.0
none,old_turn,rand_001,3024,1008,1.0
none,old_turn,unicode_001,3024,1008,1.0
none,recent_turn,boundary_001,3024,1008,1.0
none,recent_turn,multi_001,3024,1008,1.0
none,recent_turn,natural_001,3024,1008,1.0
none,recent_turn,rand_001,3024,1008,1.0
none,recent_turn,unicode_001,3024,1008,1.0
none,system,boundary_001,3024,1008,1.0
none,system,multi_001,3024,1008,1.0
none,system,natural_001,3024,1008,1.0
none,system,rand_001,3024,1008,1.0
none,system,unicode_001,3024,1008,1.0
none,tool_output,boundary_001,180,60,0.6666666666666666
none,tool_output,multi_001,180,60,0.6666666666666666
none,tool_output,natural_001,180,60,0.6666666666666666
none,tool_output,rand_001,180,60,0.6666666666666666
none,tool_output,unicode_001,180,60,0.6666666666666666
keep_recent_messages,prefix,boundary_001,3024,1008,0.33134920634920634
keep_recent_messages,prefix,multi_001,3024,1008,0.33134920634920634
keep_recent_messages,prefix,natural_001,3024,1008,0.33134920634920634
keep_recent_messages,prefix,rand_001,3024,1008,0.33134920634920634
keep_recent_messages,prefix,unicode_001,3024,1008,0.33134920634920634
keep_recent_messages,middle,boundary_001,3024,1008,0.5466269841269841
keep_recent_messages,middle,multi_001,3024,1008,0.5479497354497355
keep_recent_messages,middle,natural_001,3024,1008,0.5479497354497355
keep_recent_messages,middle,rand_001,3024,1008,0.5479497354497355
keep_recent_messages,middle,unicode_001,3024,1008,0.5472883597883598
keep_recent_messages,end,boundary_001,3024,1008,0.5466269841269841
keep_recent_messages,end,multi_001,3024,1008,0.5482804232804233
keep_recent_messages,end,natural_001,3024,1008,0.5479497354497355
keep_recent_messages,end,rand_001,3024,1008,0.5479497354497355
keep_recent_messages,end,unicode_001,3024,1008,0.5472883597883598
keep_recent_messages,old_turn,boundary_001,3024,1008,0.33134920634920634
keep_recent_messages,old_turn,multi_001,3024,1008,0.33134920634920634
keep_recent_messages,old_turn,natural_001,3024,1008,0.33134920634920634
keep_recent_messages,old_turn,rand_001,3024,1008,0.33134920634920634
keep_recent_messages,old_turn,unicode_001,3024,1008,0.33134920634920634
keep_recent_messages,recent_turn,boundary_001,3024,1008,0.5466269841269841
keep_recent_messages,recent_turn,multi_001,3024,1008,0.5482804232804233
keep_recent_messages,recent_turn,natural_001,3024,1008,0.5479497354497355
keep_recent_messages,recent_turn,rand_001,3024,1008,0.5479497354497355
