pipeline_policy,data_source,n,delivered,delivered_rate
keep_recent_messages,lmsys,31320,13969,0.44600893997445723
keep_recent_messages,longdoc,5400,5400,1.0
keep_recent_messages,synthetic,22500,14600,0.6488888888888888
keep_recent_messages,wildchat,32400,16160,0.49876543209876545
none,lmsys,31320,31320,1.0
none,longdoc,5400,5400,1.0
none,synthetic,22500,22200,0.9866666666666667
none,wildchat,32400,32400,1.0
truncate_head,lmsys,31320,13663,0.43623882503192846
truncate_head,longdoc,5400,1873,0.34685185185185186
truncate_head,synthetic,22500,10050,0.44666666666666666
truncate_head,wildchat,32400,14251,0.43984567901234567
truncate_middle,lmsys,31320,27099,0.8652298850574712
truncate_middle,longdoc,5400,4650,0.8611111111111112
truncate_middle,synthetic,22500,20350,0.9044444444444445
truncate_middle,wildchat,32400,26856,0.8288888888888889
truncate_tail,lmsys,31320,23568,0.7524904214559387
truncate_tail,longdoc,5400,4157,0.7698148148148148
truncate_tail,synthetic,22500,15200,0.6755555555555556
truncate_tail,wildchat,32400,24230,0.7478395061728395
