pipeline_policy,context_length,data_source,reference,diff,ci_lo,ci_hi,n_a,n_b,p_tost,p_holm,p_bh,equivalent_raw,equivalent_holm,equivalent_bh
keep_recent_messages,512,lmsys,synthetic,-0.30994252873563216,-0.3525621671765684,-0.2662003194228185,10440,7500,1.0,1.0,1.0,False,False,False
keep_recent_messages,512,longdoc,synthetic,0.41333333333333333,0.37373330074942973,0.4521935637543347,1800,7500,1.0,1.0,1.0,False,False,False
keep_recent_messages,512,wildchat,synthetic,-0.27175925925925926,-0.3164805524371951,-0.2275390984859693,10800,7500,1.0,1.0,1.0,False,False,False
keep_recent_messages,1024,lmsys,synthetic,-0.2906896551724138,-0.3337030386471746,-0.24715394574865276,10440,7500,1.0,1.0,1.0,False,False,False
keep_recent_messages,1024,longdoc,synthetic,0.41333333333333333,0.37373330074942973,0.4521935637543347,1800,7500,1.0,1.0,1.0,False,False,False
keep_recent_messages,1024,wildchat,synthetic,-0.2038888888888889,-0.250580870554276,-0.15986355168825675,10800,7500,1.0,1.0,1.0,False,False,False
keep_recent_messages,2048,lmsys,synthetic,-0.008007662835249008,-0.057988271666394156,0.03986341192324698,10440,7500,0.081,1.0,0.2278125,False,False,False
keep_recent_messages,2048,longdoc,synthetic,0.22666666666666668,0.18941981258366802,0.26340864921006407,1800,7500,1.0,1.0,1.0,False,False,False
keep_recent_messages,2048,wildchat,synthetic,0.025277777777777843,-0.022123144273080313,0.07275678390524785,10800,7500,0.2,1.0,0.5294117647058824,False,False,False
none,512,lmsys,synthetic,0.013333333333333308,0.008730398763189557,0.018012008005336866,10440,7500,0.0,0.0,0.0,True,True,True
none,512,longdoc,synthetic,0.013333333333333308,0.00871313672922247,0.018084999883280172,1800,7500,0.0,0.0,0.0,True,True,True
none,512,wildchat,synthetic,0.013333333333333308,0.008718980549966449,0.018012609207206202,10800,7500,0.0,0.0,0.0,True,True,True
none,1024,lmsys,synthetic,0.013333333333333308,0.008730398763189557,0.018012008005336866,10440,7500,0.0,0.0,0.0,True,True,True
none,1024,longdoc,synthetic,0.013333333333333308,0.00871313672922247,0.018084999883280172,1800,7500,0.0,0.0,0.0,True,True,True
none,1024,wildchat,synthetic,0.013333333333333308,0.008718980549966449,0.018012609207206202,10800,7500,0.0,0.0,0.0,True,True,True
none,2048,lmsys,synthetic,0.013333333333333308,0.008730398763189557,0.018012008005336866,10440,7500,0.0,0.0,0.0,True,True,True
none,2048,longdoc,synthetic,0.013333333333333308,0.00871313672922247,0.018084999883280172,1800,7500,0.0,0.0,0.0,True,True,True
none,2048,wildchat,synthetic,0.013333333333333308,0.008718980549966449,0.018012609207206202,10800,7500,0.0,0.0,0.0,True,True,True
truncate_head,512,lmsys,synthetic,-0.07879310344827584,-0.09997798076925236,-0.05827152415489904,10440,7500,0.987,1.0,1.0,False,False,False
truncate_head,512,longdoc,synthetic,-0.13999999999999999,-0.15593669109705083,-0.12386624961989458,1800,7500,1.0,1.0,1.0,False,False,False
truncate_head,512,wildchat,synthetic,-0.10638888888888887,-0.13052322005532094,-0.08186419122199512,10800,7500,1.0,1.0,1.0,False,False,False
truncate_head,1024,lmsys,synthetic,-0.03250957854406128,-0.049853450103455585,-0.01520394088669951,10440,7500,0.048,1.0,0.14400000000000002,True,False,False
truncate_head,1024,longdoc,synthetic,-0.10999999999999999,-0.13257255806546686,-0.08711910697777087,1800,7500,1.0,1.0,1.0,False,False,False
truncate_head,1024,wildchat,synthetic,-0.01740740740740737,-0.036076560337184135,0.002272582829817805,10800,7500,0.003,0.099,0.010384615384615384,True,False,True
truncate_head,2048,lmsys,synthetic,0.08001915708812257,0.033348553071898476,0.12734067669160584,10440,7500,0.8465,1.0,1.0,False,False,False
truncate_head,2048,longdoc,synthetic,-0.0494444444444444,-0.1402032326274736,0.0348684958055293,1800,7500,0.4965,1.0,1.0,False,False,False
truncate_head,2048,wildchat,synthetic,0.10333333333333328,0.05928451957730331,0.14885948973512528,10800,7500,0.9795,1.0,1.0,False,False,False
truncate_middle,512,lmsys,synthetic,-0.10860153256704985,-0.12486272312561668,-0.0932954159531626,10440,7500,1.0,1.0,1.0,False,False,False
truncate_middle,512,longdoc,synthetic,-0.053333333333333344,-0.06303275011215792,-0.043062981332897085,1800,7500,0.7005,1.0,1.0,False,False,False
truncate_middle,512,wildchat,synthetic,-0.19490740740740742,-0.21298368129862366,-0.1774207121609274,10800,7500,1.0,1.0,1.0,False,False,False
truncate_middle,1024,lmsys,synthetic,-0.02785440613026824,-0.04087579893056596,-0.015298472252498382,10440,7500,0.0025,0.085,0.009375,True,False,True
truncate_middle,1024,longdoc,synthetic,-0.053333333333333344,-0.06303275011215792,-0.043062981332897085,1800,7500,0.7005,1.0,1.0,False,False,False
truncate_middle,1024,wildchat,synthetic,-0.05842592592592599,-0.075844904758201,-0.04185233158163772,10800,7500,0.787,1.0,1.0,False,False,False
truncate_middle,2048,lmsys,synthetic,0.018812260536398506,0.008464875285586787,0.02956105845787365,10440,7500,0.0,0.0,0.0,True,True,True
truncate_middle,2048,longdoc,synthetic,-0.023333333333333317,-0.04360467891684085,-0.004083444296493544,1800,7500,0.015,0.48,0.04821428571428571,True,False,True
truncate_middle,2048,wildchat,synthetic,0.026666666666666727,0.0166507072094614,0.0373950845401121,10800,7500,0.0,0.0,0.0,True,True,True
truncate_tail,512,lmsys,synthetic,0.05093869731800771,0.04029319323322268,0.06117693353678953,10440,7500,0.568,1.0,1.0,False,False,False
truncate_tail,512,longdoc,synthetic,0.08666666666666667,0.07921673342234081,0.09409141583054625,1800,7500,1.0,1.0,1.0,False,False,False
truncate_tail,512,wildchat,synthetic,0.047962962962962985,0.034109724058903626,0.061688743375541616,10800,7500,0.391,1.0,0.9774999999999999,False,False,False
truncate_tail,1024,lmsys,synthetic,0.0868773946360154,0.06891916363905781,0.10508375775897014,10440,7500,0.9995,1.0,1.0,False,False,False
truncate_tail,1024,longdoc,synthetic,0.1166666666666667,0.09436398675404647,0.1371322058753898,1800,7500,1.0,1.0,1.0,False,False,False
truncate_tail,1024,wildchat,synthetic,0.09250000000000003,0.07104296962036866,0.11529771307452025,10800,7500,0.9995,1.0,1.0,False,False,False
truncate_tail,2048,lmsys,synthetic,0.09298850574712647,0.06890520934232568,0.11735234402991555,10440,7500,0.9985,1.0,1.0,False,False,False
truncate_tail,2048,longdoc,synthetic,0.07944444444444443,0.04715645041014163,0.11052973809797809,1800,7500,0.9365,1.0,1.0,False,False,False
truncate_tail,2048,wildchat,synthetic,0.07638888888888884,0.051224382328085113,0.10275766398688818,10800,7500,0.9575,1.0,1.0,False,False,False
