trigger_position,policy,baseline,diff,boot_lo,boot_hi,bases
prefix,keep_recent_messages,none,-0.6686507936507937,-0.6888392857142857,-0.6492972883597884,1008
prefix,truncate_head,none,-0.7943121693121693,-0.80557208994709,-0.7842179232804233,1008
prefix,truncate_tail,none,0.0,0.0,0.0,1008
prefix,truncate_middle,none,0.0,0.0,0.0,1008
middle,keep_recent_messages,none,-0.45244708994708993,-0.4757969576719577,-0.4279001322751323,1008
middle,truncate_head,none,-0.4127645502645503,-0.43360449735449735,-0.3912632275132275,1008
middle,truncate_tail,none,-0.5552910052910053,-0.5735449735449736,-0.5376818783068783,1008
middle,truncate_middle,none,-0.5685846560846561,-0.5884953703703704,-0.5459242724867724,1008
end,keep_recent_messages,none,-0.45238095238095233,-0.47569940476190475,-0.42786541005291007,1008
end,truncate_head,none,-0.060582010582010626,-0.0695552248677249,-0.051813822751322756,1008
end,truncate_tail,none,-0.752910052910053,-0.7681878306878307,-0.7389318783068783,1008
end,truncate_middle,none,-0.17195767195767198,-0.18832837301587302,-0.15489087301587304,1008
old_turn,keep_recent_messages,none,-0.6686507936507937,-0.6888392857142857,-0.6492972883597884,1008
old_turn,truncate_head,none,-0.7943121693121693,-0.80557208994709,-0.7842179232804233,1008
old_turn,truncate_tail,none,0.0,0.0,0.0,1008
old_turn,truncate_middle,none,0.0,0.0,0.0,1008
recent_turn,keep_recent_messages,none,-0.45238095238095233,-0.47569940476190475,-0.42786541005291007,1008
recent_turn,truncate_head,none,-0.5486772486772487,-0.5698412698412698,-0.5249900793650794,1008
recent_turn,truncate_tail,none,-0.2569444444444444,-0.27887400793650796,-0.2342906746031746,1008
recent_turn,truncate_middle,none,-0.07724867724867723,-0.088328373015873,-0.06633597883597886,1008
system,keep_recent_messages,none,-0.029761904761904767,-0.04067460317460314,-0.02031250000000006,1008
system,truncate_head,none,-0.7943121693121693,-0.80557208994709,-0.7842179232804233,1008
system,truncate_tail,none,0.0,0.0,0.0,1008
system,truncate_middle,none,0.0,0.0,0.0,1008
tool_output,keep_recent_messages,none,0.0,0.0,0.0,60
tool_output,truncate_head,none,0.0,0.0,0.0,60
tool_output,truncate_tail,none,-0.5555555555555556,-0.6555555555555557,-0.4444444444444444,60
tool_output,truncate_middle,none,0.0,0.0,0.0,60
